name,psnr,ssim,lips,gs_num,loss,abpp,est_size,render_time,view_idx,dec_time_f_offset,dec_time_f_anchor_feat,dec_time_scale,dec_time_coder_time,dec_time_all_time,total_bitsMB,pos_bits,atr_bits,mlp_bits,part_bits_geo,part_bits_mlp,part_bits_f_offset,part_bits_f_anchor_feat,part_bits_scale,gsNum,enc_time_pos,enc_time_f_offset,enc_time_f_anchor_feat,enc_time_scale,enc_time_coder_time,enc_time_all_time,train_time (min)
drjohnson,29.598479184237394,0.9061865011850992,0.26145724726445746,279762.0,0.05757183412259275,222.490966796875,7.887027961376589,0.007056792577107747,16.0,0.38,0.808,0.156,1.344,2.003,6.73640251159668,2279296.0,53804984.0,424760.0,2279296.0,424760.0,11928512.0,33133616.0,8742856.0,279762.0,0.23,0.22,0.498,0.109,1.057,15.012,20.52
playroom,30.776893813034583,0.911391541875642,0.2627141074887637,310066.0,0.054545578514707496,208.794921875,8.235112458001822,0.007484592240432213,14.0,0.333,0.871,0.17,1.373,2.085,6.70639705657959,2720240.0,53111000.0,426096.0,2720240.0,426096.0,8350408.0,35092272.0,9668320.0,310066.0,0.26,0.177,0.568,0.121,1.126,15.804,17.92
mean,30.18768649863599,0.9087890215303707,0.2620856773766106,294914.0,0.05605870631865012,215.6429443359375,8.061070209689206,0.00727069240876998,15.0,0.35650000000000004,0.8395,0.163,1.3585,2.044,6.721399784088135,2499768.0,53457992.0,425428.0,2499768.0,425428.0,10139460.0,34112944.0,9205588.0,294914.0,0.245,0.1985,0.5329999999999999,0.11499999999999999,1.0915,15.408000000000001,19.22
