name,psnr,ssim,lips,gs_num,loss,abpp,est_size,render_time,view_idx,dec_time_f_offset,dec_time_f_anchor_feat,dec_time_scale,dec_time_coder_time,dec_time_all_time,total_bitsMB,pos_bits,atr_bits,mlp_bits,part_bits_geo,part_bits_mlp,part_bits_f_offset,part_bits_f_anchor_feat,part_bits_scale,gsNum,enc_time_pos,enc_time_f_offset,enc_time_f_anchor_feat,enc_time_scale,enc_time_coder_time,enc_time_all_time,train_time (min)
truck,25.356634974479675,0.8681405801326036,0.1799358776770532,454111.0,0.07446317467838526,232.12681579589844,13.323890501009373,0.01228778064250946,15.5,0.638,1.236,0.214,2.088,2.898,11.103052139282227,5033168.0,87680440.0,425544.0,5033168.0,425544.0,22734432.0,51978136.0,12967872.0,454111.0,0.486,0.388,0.803,0.162,1.839,23.674,16.0
train,21.791208869532536,0.7892345001823023,0.25903901222505066,170364.0,0.11551689787914879,236.6234893798828,5.089905279244704,0.007071476233632941,18.5,0.241,0.516,0.091,0.848,1.171,4.440096855163574,2125456.0,34695352.0,425424.0,2125456.0,425424.0,8202576.0,21045864.0,5446912.0,170364.0,0.195,0.141,0.324,0.067,0.726,9.168,12.02
mean,23.573921922006107,0.8286875401574529,0.21948744495105194,312237.5,0.09499003627876702,234.37515258789062,9.206897890127038,0.0096796284380712,17.0,0.4395,0.876,0.1525,1.468,2.0345,7.7715744972229,3579312.0,61187896.0,425484.0,3579312.0,425484.0,15468504.0,36512000.0,9207392.0,312237.5,0.3405,0.2645,0.5635,0.1145,1.2825,16.421,14.01
